"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-201",1," 1.40167142"," 0.41504880","-0.0759005886","-0.81448014","-2.66970109"," 0.33730422","-1.42672136","-0.037738539"," 0.367598704"," 0.36066837"
"sub-201",2," 0.77106260"," 0.47918727","-0.32723912","-0.429382327","-0.542970930","-0.09476351","-1.55586815"," 0.03140641","-0.799745084"," 0.25640851"
"sub-201",3," 1.7169758"," 0.198262943","-0.672164541","-0.72546915","-1.83906423","-0.38804583","-1.27174522"," 0.86954508","-0.702466435"," 0.006741116"
"sub-201",4,"-0.80545944","-0.28358711"," 1.42460979","-0.3272155","-0.96651729","-0.59371736","-0.96179292"," 0.06639446","-0.02151589"," 0.13304758"
"sub-203",1,"-0.09602452"," 0.03268401","-0.7295599771"," 0.41250905"," 1.35832773"," 0.44533599","-1.58169751","-1.818890482"," 0.124402082"," 1.48349542"
"sub-203",2," 0.21927988"," 0.44613203","-1.58418048"," 0.363713375"," 0.982119082","-0.66125301"," 0.12304010","-0.68183797"," 0.124402082"," 0.24091181"
"sub-203",3,"-1.9878510"," 0.744497444","-1.360336679"," 0.91992375"," 0.61552994","-1.36238620","-0.31605898","-0.69676519"," 0.416238029"," 0.029550285"
"sub-203",4," 1.00754090"," 0.91625938","-1.74313403"," 0.6590275"," 1.84582477","-0.69867973","-0.05776541","-0.64001061"," 0.70807398"," 0.20427018"
"sub-204",1,"-0.80545944","-0.56538917","-1.1155686168","-1.61085170","-0.20519801"," 1.19194320"," 0.10366808","-0.147897951","-0.994302382"," 0.38585057"
"sub-204",2,"-0.80545944","-0.56545055","-1.14060092","-1.109931951"," 0.170704919"," 0.51845356"," 0.36196166"," 0.05083753","-0.702466435","-0.02714288"
"sub-204",3,"-0.8054594","-0.565470736","-1.284015759","-0.18967468"," 1.19619975"," 0.72989641"," 1.03352496"," 0.07700733","-0.021515892"," 0.028047898"
"sub-204",4,"-0.80545944","-0.56542112","-1.01149508"," 0.3860264"," 1.36275249","-0.06118581"," 0.15532680","-0.77802998"," 0.36759870"," 0.50741087"
"sub-205",1," 0.84988870","-0.98443258"," 0.4799113891","-0.87771571","-0.71906527"," 0.10361859","-0.99038971","-0.214794506","-0.084052166","-0.11005428"
"sub-205",2," 1.79580193","-0.03770264","-0.37552113","-0.894037029","-0.711716417","-0.34139158","-0.21550898"," 0.46413359"," 0.110505132","-0.90054963"
"sub-205",3," 0.8498887"," 0.090843405"," 1.121589597","-1.06143495","-0.14745000"," 0.35340121"," 0.50771303"," 0.84362270","-2.516018392","-0.942381774"
